,zpid,price,beds,baths,area,zipcode,city,state,homeType,pricePerSQFT
2062,15196294,1788000,7.0,4.0,2648.0,94112,San Francisco,CA,SINGLE_FAMILY,675
2063,15149994,995000,2.0,2.0,980.0,94107,San Francisco,CA,CONDO,1015
2064,15176917,698000,4.0,3.0,1726.0,94134,San Francisco,CA,SINGLE_FAMILY,404
2066,15100731,579900,1.0,1.0,661.0,94121,San Francisco,CA,CONDO,877
2067,2103019771,745000,2.0,2.0,905.0,94110,San Francisco,CA,CONDO,823
2068,15192287,1450000,6.0,4.0,2199.0,94112,San Francisco,CA,SINGLE_FAMILY,659
2069,15156713,825000,3.0,2.0,995.0,94124,San Francisco,CA,SINGLE_FAMILY,829
2070,79847085,1175000,2.0,2.0,1012.0,94115,San Francisco,CA,CONDO,1161
2071,15115680,1199000,3.0,2.0,1183.0,94116,San Francisco,CA,SINGLE_FAMILY,1014
2072,15089158,3150000,3.0,3.0,2900.0,94121,San Francisco,CA,SINGLE_FAMILY,1086
2073,15167742,859900,3.0,3.0,1463.0,94112,San Francisco,CA,SINGLE_FAMILY,588
2074,332858091,2899000,5.0,5.0,2910.0,94116,San Francisco,CA,MULTI_FAMILY,996
2075,15174110,998000,4.0,2.0,2115.0,94134,San Francisco,CA,SINGLE_FAMILY,472
2076,15085684,1395000,3.0,2.0,1405.0,94117,San Francisco,CA,CONDO,993
2078,15168125,899000,2.0,1.0,1037.0,94112,San Francisco,CA,SINGLE_FAMILY,867
2079,80754631,800000,1.0,1.0,1092.0,94103,San Francisco,CA,CONDO,733
2080,15080706,29750000,6.0,8.0,7840.0,94123,San Francisco,CA,SINGLE_FAMILY,3795
2081,15091198,4680000,5.0,5.0,4115.0,94118,San Francisco,CA,SINGLE_FAMILY,1137
2082,89238455,197467,0.0,1.0,263.0,94102,San Francisco,CA,CONDO,751
2083,123597951,1489000,3.0,2.0,1391.0,94110,San Francisco,CA,CONDO,1070
2084,241587690,898000,2.0,2.0,2200.0,94112,San Francisco,CA,MULTI_FAMILY,408
2085,337887710,949000,2.0,1.0,850.0,94117,San Francisco,CA,CONDO,1116
2086,15126885,3995000,8.0,7.0,2000.0,94117,San Francisco,CA,SINGLE_FAMILY,1998
2088,241586413,949888,2.0,1.0,622.0,94110,San Francisco,CA,CONDO,1527
2089,15120594,1198000,2.0,1.0,1300.0,94116,San Francisco,CA,SINGLE_FAMILY,922
2090,2112579523,550000,1.0,1.0,689.0,94131,San Francisco,CA,CONDO,798
2091,15162871,1195000,3.0,2.0,1328.0,94110,San Francisco,CA,SINGLE_FAMILY,900
2092,15131197,1395000,3.0,2.0,1432.0,94131,San Francisco,CA,SINGLE_FAMILY,974
2093,15167483,998000,3.0,2.0,1250.0,94134,San Francisco,CA,SINGLE_FAMILY,798
2094,2078580565,675000,2.0,1.0,879.0,94110,San Francisco,CA,CONDO,768
2096,241586542,600000,3.0,2.0,1011.0,94124,San Francisco,CA,CONDO,593
2097,15063565,649000,1.0,1.0,667.0,94133,San Francisco,CA,CONDO,973
2098,15189647,1095000,3.0,2.0,1643.0,94132,San Francisco,CA,SINGLE_FAMILY,666
2099,15066306,995000,1.0,1.0,866.0,94133,San Francisco,CA,CONDO,1149
2101,15096945,999000,3.0,2.0,1395.0,94121,San Francisco,CA,SINGLE_FAMILY,716
2102,15065489,759000,1.0,1.0,620.0,94109,San Francisco,CA,CONDO,1224
2103,15088707,9800000,5.0,5.0,4500.0,94121,San Francisco,CA,SINGLE_FAMILY,2178
2104,2057952260,382757,1.0,1.0,684.0,94131,San Francisco,CA,CONDO,560
2105,2065431636,2195000,3.0,3.0,1826.0,94111,San Francisco,CA,CONDO,1202
