,season,player,pos,award_share,age,team_id,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,mp,per,ts_pct,fg3a_per_fga_pct,fta_per_fga_pct,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,ows,dws,ws,ws_per_48,obpm,dbpm,bpm,vorp,mov,mov_adj,win_loss_pct
10,1992,Michael Jordan,SG,0.938,28,CHI,80,80,35.0,10.644329896907218,20.476804123711343,0.4681701030927835,0.27061855670103097,1.1726804123711343,0.24355670103092789,10.373711340206185,19.394329896907216,0.480798969072165,0.47448453608247426,5.502577319587629,6.675257731958763,0.7505154639175258,0.9922680412371135,4.780927835051547,5.773195876288661,5.502577319587629,2.074742268041237,0.8118556701030928,2.255154639175258,2.255154639175258,27.15206185567011,2798.19587628866,24.987113402061855,0.5222938144329897,0.049613402061855674,0.2931701030927836,3.157216494845361,13.801546391752579,8.56958762886598,23.182989690721648,2.7061855670103094,1.3530927835051547,7.938144329896908,28.595360824742272,10.914948453608247,5.051546391752578,15.966494845360824,0.24716494845360829,6.494845360824742,2.255154639175258,8.75,8.298969072164947,9.417525773195877,9.083762886597938,0.7369845360824742
11,1993,Charles Barkley,PF,0.852,29,PHO,76,76,35.0,8.75,16.84840425531915,0.4840425531914893,0.8377659574468085,2.699468085106383,0.28390957446808507,7.912234042553191,14.148936170212766,0.5222074468085106,0.507313829787234,5.492021276595745,7.167553191489362,0.7121010638297872,2.8856382978723403,8.470744680851062,11.356382978723405,4.747340425531914,1.4893617021276595,0.9308510638297872,2.8856382978723403,2.420212765957447,23.829787234042552,2661.303191489362,24.10904255319149,0.5547872340425531,0.14893617021276595,0.39375,8.84308510638298,24.481382978723403,16.84840425531915,19.73404255319149,1.8617021276595744,1.4893617021276595,11.63563829787234,25.039893617021274,8.936170212765957,4.468085106382978,13.404255319148936,0.2252659574468085,5.864361702127659,1.303191489361702,7.26063829787234,6.609042553191489,6.199468085106383,5.836436170212766,0.7037234042553191
12,1994,Hakeem Olajuwon,C,0.88,31,HOU,80,80,35.0,9.560975609756097,18.097560975609756,0.4507317073170732,0.08536585365853659,0.17073170731707318,0.35939024390243907,9.475609756097562,17.84146341463415,0.45158536585365855,0.4524390243902439,4.182926829268293,5.8048780487804885,0.6112195121951219,2.475609756097561,7.7682926829268295,10.158536585365855,3.0731707317073176,1.3658536585365855,3.1585365853658542,2.9024390243902443,3.0731707317073176,23.304878048780488,2797.439024390244,21.597560975609756,0.48231707317073164,0.009390243902439024,0.2731707317073171,6.999999999999999,19.890243902439025,13.829268292682926,13.999999999999998,1.7073170731707317,4.865853658536586,10.500000000000002,25.4390243902439,5.463414634146342,6.7439024390243905,12.207317073170733,0.17926829268292685,2.987804878048781,2.8170731707317076,5.8048780487804885,6.2317073170731705,3.6878048780487807,3.576829268292683,0.6035365853658536
13,1995,David Robinson,C,0.858,29,SAS,81,81,35.0,8.934210526315788,16.94736842105263,0.4881578947368421,0.09210526315789473,0.18421052631578946,0.27631578947368424,8.934210526315788,16.67105263157895,0.490921052631579,0.49,7.4605263157894735,9.671052631578949,0.7128947368421054,2.6710526315789473,7.276315789473684,9.947368421052632,2.6710526315789473,1.5657894736842106,2.9473684210526314,2.6710526315789473,2.578947368421052,25.42105263157895,2831.315789473684,26.80263157894737,0.5544736842105262,0.011973684210526315,0.525,8.381578947368421,20.815789473684212,14.921052631578947,12.618421052631577,2.0263157894736845,5.43421052631579,10.223684210526315,27.539473684210527,9.855263157894736,6.171052631578947,16.11842105263158,0.25144736842105264,5.526315789473684,2.9473684210526314,8.473684210526315,8.013157894736842,5.489473684210527,5.43421052631579,0.6963157894736842
14,1996,Michael Jordan,SG,0.986,32,CHI,82,82,35.0,10.397877984084879,20.981432360742705,0.4595490716180371,1.2997347480106098,2.970822281167109,0.396419098143236,9.09814323607427,18.010610079575592,0.469761273209549,0.48740053050397875,6.220159151193634,7.427055702917771,0.7742705570291776,1.6710875331564985,4.456233421750662,6.1273209549071606,3.992042440318302,2.042440318302387,0.4641909814323607,2.228116710875331,2.228116710875331,28.22281167108753,2868.700265251989,27.294429708222808,0.5403183023872679,0.1309018567639257,0.32957559681697607,5.198938992042439,13.83289124668435,9.469496021220158,19.681697612732094,2.8779840848806364,0.9283819628647214,7.79840848806366,30.91511936339522,13.183023872679042,5.755968169761273,18.938992042440315,0.2942970822281167,7.705570291777189,2.042440318302387,9.748010610079575,9.09814323607427,11.36339522546419,10.954907161803714,0.8151193633952254
15,1997,Karl Malone,PF,0.857,33,UTA,82,82,35.0,10.040983606557376,18.360655737704914,0.5259562841530055,0.0,0.1912568306010929,0.0,10.040983606557376,18.169398907103826,0.5307377049180328,0.5259562841530055,6.120218579234972,8.032786885245901,0.7219945355191256,2.295081967213114,7.172131147540984,9.467213114754099,4.30327868852459,1.33879781420765,0.5737704918032785,2.6775956284153,2.4863387978142075,26.202185792349724,2866.9398907103823,27.636612021857918,0.5737704918032785,0.007650273224043716,0.41980874316939887,8.128415300546447,23.142076502732237,16.065573770491802,23.428961748633878,1.9125683060109289,1.2431693989071038,10.614754098360656,31.270491803278688,11.092896174863387,4.877049180327869,15.969945355191255,0.2562841530054645,6.7896174863387975,1.147540983606557,7.937158469945356,7.459016393442623,8.405737704918032,7.621584699453551,0.7459016393442622
16,1998,Michael Jordan,SG,0.934,34,CHI,82,82,35.0,9.652061855670103,20.837628865979386,0.41945876288659795,0.3608247422680413,1.3530927835051547,0.21469072164948455,9.381443298969074,19.394329896907216,0.4347938144329897,0.4266752577319588,6.224226804123712,7.938144329896908,0.7072164948453609,1.4432989690721651,3.7886597938144337,5.231958762886598,3.157216494845361,1.5335051546391754,0.4510309278350516,2.074742268041237,1.6237113402061856,25.88917525773196,2869.4587628865984,22.7319587628866,0.480798969072165,0.060438144329896915,0.3436855670103093,4.239690721649485,11.275773195876289,7.6675257731958775,16.237113402061855,2.1649484536082477,0.9020618556701032,6.945876288659794,30.39948453608248,9.381443298969074,4.871134020618558,14.252577319587632,0.21469072164948455,5.322164948453609,0.9020618556701032,6.224226804123712,6.404639175257732,6.413659793814434,6.530927835051547,0.6819587628865981
17,1999,Karl Malone,PF,0.701,35,UTA,49,49,35.0,7.4866310160427805,15.254010695187166,0.46136363636363636,0.0,0.0,0.0,7.4866310160427805,15.16042780748663,0.4622994652406417,0.46136363636363636,7.2058823529411775,9.171122994652409,0.737433155080214,2.058823529411765,6.831550802139038,8.796791443850267,3.836898395721925,1.2165775401069518,0.5614973262032086,3.0882352941176467,2.526737967914439,22.272727272727273,1714.4385026737968,23.957219251336902,0.5399732620320855,0.0009358288770053477,0.5633689839572193,7.2058823529411775,20.681818181818183,14.411764705882355,21.524064171122994,1.7780748663101604,1.1229946524064172,12.914438502673798,28.5427807486631,5.802139037433156,3.181818181818182,8.983957219251337,0.2358288770053476,4.959893048128342,1.3101604278074865,6.270053475935829,3.7433155080213902,6.101604278074866,5.184491978609626,0.6925133689839572
18,2000,Shaquille O'Neal,C,0.998,27,LAL,79,79,35.0,10.5875,18.462500000000002,0.50225,0.0,0.0,0.0,10.5875,18.462500000000002,0.5031249999999999,0.50225,4.8125,9.1,0.4585,3.7624999999999997,8.225,11.899999999999999,3.325,0.4375,2.625,2.4499999999999997,2.8000000000000003,25.987499999999997,2767.625,26.775000000000002,0.5057499999999999,0.000875,0.43312500000000004,10.0625,21.7,16.0125,16.887500000000003,0.525,4.6375,8.6625,27.3,10.237499999999999,6.125,16.275000000000002,0.24762499999999998,6.3875,1.75,8.137500000000001,7.875,7.481250000000001,7.35875,0.7148749999999999
19,2001,Allen Iverson,SG,0.904,25,PHI,71,71,35.0,8.916666666666666,21.25,0.35000000000000003,1.1666666666666667,3.583333333333333,0.26666666666666666,7.833333333333334,17.666666666666664,0.36750000000000005,0.3725,6.833333333333332,8.416666666666666,0.6783333333333333,0.5833333333333334,2.5833333333333335,3.1666666666666665,3.833333333333333,2.083333333333333,0.25,2.75,1.75,25.916666666666668,2482.5,20.0,0.43166666666666664,0.14083333333333334,0.33083333333333337,1.5833333333333333,6.916666666666667,4.333333333333334,19.166666666666668,2.666666666666667,0.41666666666666663,8.333333333333332,29.916666666666664,6.083333333333333,3.75,9.833333333333334,0.15833333333333333,4.166666666666666,0.9166666666666667,5.083333333333333,5.083333333333333,3.566666666666667,3.025,0.5691666666666667
